Year,Average Percentage Change,,Year 2,S&P500
1978,0,,1978,-6.032587098
1979,35.27681882,,1979,-0.9980827788
1980,38.51606805,,1980,10.06436179
1981,10.7744797,,1981,-14.86234734
1982,-5.328323272,,1982,8.445781668
1983,-4.372438025,,1983,13.62833842
1984,-2.224943866,,1984,-3.741429487
1985,-0.1461377871,,1985,21.40715878
1986,-22.13394662,,1986,18.62020935
1987,2.792446075,,1987,-7.17348373
1988,0.6791467131,,1988,9.874460949
1989,10.01470207,,1989,20.47726202
1990,14.82587847,,1990,-11.12124634
1991,-1.711508181,,1991,14.6648204
1992,-0.5641847183,,1992,8.970406467
1993,-1.414962174,,1993,4.096426383
1994,0.09947420776,,1994,-4.854527009
1995,2.668938103,,1995,31.6716469
1996,6.851493363,,1996,17.04939666
1997,0.2588159172,,1997,27.31356924
1998,-13.6237496,,1998,21.69663223
1999,9.459055589,,1999,16.91390896
2000,28,,2000,-9.893768006
2001,-2.010452218,,2001,-15.28990058
2002,-5.904761905,,2002,-23.2874766
2003,13.67264315,,2003,17.96381147
2004,17.40612598,,2004,7.47281403
2005,21.57746479,,2005,1.765774464
2006,12.69694161,,2006,9.449624886
2007,8.150936235,,2007,0.3387356151
2008,16.42441435,,2008,-40.72872147
2009,-27.63194253,,2009,23.17885875
2010,18.10892429,,2010,10.16331678
2011,26.13295715,,2011,-2.736754335
2012,3.313295121,,2012,12.43633986
2013,-3.00631484,,2013,25.22308304
2014,-4.436487083,,2014,12.7817997
2015,-26.71354534,,2015,-0.7334034863
2016,-12.20783533,,2016,7.151317942
2017,12.02964868,,2017,16.14311584
