Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2022-06-30,NYSE American (A),15150186,29292338,14281846,58724370,493112526.015700,747532989.180100,550093813.022500,1790739328.218300,174254,108555,118403,401212
2022-06-30,NASDAQ BX (B),22540493,17751058,23664894,63956445,939175008.351500,1320141406.914100,1246421708.165200,3505738123.430800,509988,146415,425086,1081489
2022-06-30,NYSE National (C),38861536,30209154,30018709,99089399,895693846.783000,1304835686.740600,859066072.990400,3059595606.514000,423548,168976,293131,885655
2022-06-30,FINRA / Nasdaq TRF Chicago (DB),8254037,3079858,13034872,24368767,269071805.563100,196926169.788700,783888121.220700,1249886096.572500,33354,12542,55187,101083
2022-06-30,FINRA / NYSE TRF (DN),244526595,130233248,568875427,943635270,7215110360.355998,5668879894.914802,16746102971.556315,29630093226.827115,1253315,311710,1515937,3080962
2022-06-30,FINRA / Nasdaq TRF Carteret (DQ),1446702539,836718860,2134128235,4417549634,54260930649.873410,48363643942.107631,77063095267.173411,179687669859.154452,6810290,2199236,6849080,15858606
2022-06-30,MIAX Pearl (H),38844647,30764932,38866948,108476527,878956353.387600,1635040087.302700,1599971269.264300,4113967709.954600,369773,135846,361559,867178
2022-06-30,EDGA Equities (J),69527613,41077479,68415286,179020378,2331863420.432900,2089176297.046200,2670378342.415000,7091418059.894100,980604,301064,794135,2075803
2022-06-30,EDGX Equities (K),220394823,117784261,316137280,654316364,6884630442.319298,6846819832.738102,11240592342.707304,24972042617.764704,2066922,668483,2038418,4773823
2022-06-30,LTSE (L),250722,107004,70290,428016,16066372.360000,12383636.420000,10146631.800000,38596640.580000,446,1013,613,2072
2022-06-30,NYSE Chicago (M),7899719,13464832,10710757,32075308,510087256.642800,2819839795.077200,2110632655.288301,5440559707.008301,53563,4839,41624,100026
2022-06-30,NYSE (N),1256597302,49269875,81721440,1387588617,59337600066.783788,3262427439.943000,3351798226.353601,65951825733.080389,4848740,249425,669080,5767245
2022-06-30,NYSE Arca (P),241722979,421200296,438821981,1101745256,8321206096.723097,25951620320.889800,17820974381.376689,52093800798.989586,2371759,1751588,3358217,7481564
2022-06-30,NASDAQ (Q),529205795,263472197,1284702589,2077380581,22302805406.296602,18460032524.110400,67647050051.089137,108409887981.496139,7045967,1839715,9373438,18259120
2022-06-30,Members Exchange (U),200966774,107644416,181135318,489746508,4865302363.519300,5862756343.107099,5817351902.133601,16545410608.760000,1577825,606829,1407179,3591833
2022-06-30,Investors Exchange (V),166399194,38115227,130925414,335439835,8749185123.105501,2627486589.622500,7825110700.909800,19201782413.637801,2099713,242834,1640693,3983240
2022-06-30,NASDAQ PSX (X),26682078,34178576,34414053,95274707,671213611.914300,1820778890.607800,1505219209.052400,3997211711.574500,218011,155306,270921,644238
2022-06-30,BYX Equities (Y),72962352,44315624,55778730,173056706,1636048186.360900,2708061102.137900,1896100168.565200,6240209457.064000,701943,258945,571833,1532721
2022-06-30,BZX Equities (Z),232589220,173439220,228816885,634845325,8186716499.538502,12772833139.320503,11044740039.735892,32004289678.594897,2959650,1172144,2440757,6572551
2022-06-29,NYSE American (A),15510285,25376246,13692937,54579468,465836136.189200,557419858.884400,418422942.782400,1441678937.856000,163403,98305,118963,380671
2022-06-29,NASDAQ BX (B),21152400,11857716,21764405,54774521,875532051.436800,772144157.769100,1060407025.333300,2708083234.539200,469645,96475,397276,963396
2022-06-29,NYSE National (C),38591347,23421375,27117712,89130434,851740753.684200,1003350042.956500,726276197.440300,2581366994.081000,397955,133692,292888,824535
2022-06-29,FINRA / Nasdaq TRF Chicago (DB),6537406,2783776,13102415,22423597,211819915.227300,160624612.034900,616932890.894900,989377418.157100,26577,9983,49094,85654
2022-06-29,FINRA / NYSE TRF (DN),230029521,122613054,657201556,1009844131,6424928633.711300,4164525579.506099,14128220621.559095,24717674834.776494,1137467,254671,1446109,2838247
2022-06-29,FINRA / Nasdaq TRF Carteret (DQ),1313855354,662489038,2232627147,4208971539,46686540376.403982,34191817926.891399,65336019136.882767,146214377440.178148,6137278,1912314,6418540,14468132
2022-06-29,MIAX Pearl (H),35601936,25060522,37077789,97740247,759362145.013900,1179853522.809600,1246179698.942600,3185395366.766100,341309,110264,348186,799759
2022-06-29,EDGA Equities (J),65796001,29669779,67338696,162804476,2107749654.701900,1505839252.956300,2133857759.667300,5747446667.325500,892030,223260,760377,1875667
2022-06-29,EDGX Equities (K),205318606,90376452,334768959,630464017,6183899535.561500,4806163863.066699,8945156594.567998,19935219993.196197,1912898,498347,1940546,4351791
2022-06-29,LTSE (L),123989,20809,72280,217078,5161279.280000,706936.590000,11809206.763700,17677422.633700,263,13,552,828
2022-06-29,NYSE Chicago (M),10316036,9257485,8556198,28129719,598852040.857200,737218743.130100,1439986791.373500,2776057575.360800,38011,3581,32133,73725
2022-06-29,NYSE (N),920627804,34768152,74157583,1029553539,37988144082.320104,2231719213.907600,2616805319.320300,42836668615.548004,4082396,178391,615910,4876697
2022-06-29,NYSE Arca (P),222578910,309296027,475028303,1006903240,7188107282.601798,17959799696.961808,14151289403.739503,39299196383.303109,2100772,1388899,3187161,6676832
2022-06-29,NASDAQ (Q),482515755,191120465,1104391759,1778027979,19239521332.899506,12654556455.786804,45918188110.922479,77812265899.608789,6381168,1419042,8451733,16251943
2022-06-29,Members Exchange (U),182926617,76188275,165096331,424211223,4148774677.565000,4131837191.353600,4466090233.754700,12746702102.673300,1419548,466613,1284902,3171063
2022-06-29,Investors Exchange (V),148182148,27170674,116173501,291526323,7491481275.483900,1880291296.165501,6382770226.571201,15754542798.220602,2029124,194639,1598558,3822321
2022-06-29,NASDAQ PSX (X),26465616,25696712,24800855,76963183,603655438.818200,1231856159.110700,961058511.123700,2796570109.052600,199638,115458,219618,534714
