Year,Average Percentage Change,,Year 2,Average Percentage Change Inflation,Inflation,
1978,0,,1978,0,6.84,0
1979,35.27681882,,1979,35.67251462,9.28,35.67251462
1980,38.51606805,,1980,49.89224138,13.91,49.89224138
1981,10.7744797,,1981,-14.95327103,11.83,-14.95327103
1982,-5.328323272,,1982,-29.07861369,8.39,-29.07861369
1983,-4.372438025,,1983,-55.7806913,3.71,-55.7806913
1984,-2.224943866,,1984,12.93800539,4.19,12.93800539
1985,-0.1461377871,,1985,-15.75178998,3.53,-15.75178998
1986,-22.13394662,,1986,10.19830028,3.89,10.19830028
1987,2.792446075,,1987,-62.46786632,1.46,-62.46786632
1988,0.6791467131,,1988,177.3972603,4.05,177.3972603
1989,10.01470207,,1989,15.30864198,4.67,15.30864198
1990,14.82587847,,1990,11.3490364,5.2,11.3490364
1991,-1.711508181,,1991,8.653846154,5.65,8.653846154
1992,-0.5641847183,,1992,-53.98230088,2.6,-53.98230088
1993,-1.414962174,,1993,25.38461538,3.26,25.38461538
1994,0.09947420776,,1994,-22.6993865,2.52,-22.6993865
1995,2.668938103,,1995,11.11111111,2.8,11.11111111
1996,6.851493363,,1996,-2.5,2.73,-2.5
1997,0.2588159172,,1997,11.35531136,3.04,11.35531136
1998,-13.6237496,,1998,-48.35526316,1.57,-48.35526316
1999,9.459055589,,1999,6.369426752,1.67,6.369426752
2000,28,,2000,64.07185629,2.74,64.07185629
2001,-2.010452218,,2001,36.13138686,3.73,36.13138686
2002,-5.904761905,,2002,-69.43699732,1.14,-69.43699732
2003,13.67264315,,2003,128.0701754,2.6,128.0701754
2004,17.40612598,,2004,-25.76923077,1.93,-25.76923077
2005,21.57746479,,2005,53.88601036,2.97,53.88601036
2006,12.69694161,,2006,34.34343434,3.99,34.34343434
2007,8.150936235,,2007,-47.86967419,2.08,-47.86967419
2008,16.42441435,,2008,105.7692308,4.28,105.7692308
2009,-27.63194253,,2009,-99.29906542,0.03,-99.29906542
